Time,Ambient Temperature (?C),Relative Humidity (%)
7:20:00,23.71,83.17
7:21:00,23.72,83.14
7:22:00,23.73,82.3
7:23:00,23.79,81.82
7:24:00,23.84,81.76
7:25:00,23.87,82.18
7:26:00,23.86,83.05
7:27:00,23.85,82.95
7:28:00,23.8,82.25
7:29:00,23.78,82.12
7:30:00,23.76,82.83
7:31:00,23.74,83.39
7:32:00,23.73,83.17
7:33:00,23.77,83.98
7:34:00,23.79,84.72
7:35:00,23.81,84.91
7:36:00,23.84,84.47
7:37:00,23.87,83.6
7:38:00,23.9,83.16
7:39:00,23.95,83.22
7:40:00,23.95,82.4
7:41:00,23.96,81.81
7:42:00,24.02,81.01
7:43:00,24.06,81.28
7:44:00,24.07,80.97
7:45:00,24.06,81.01
7:46:00,24.09,80.89
7:47:00,24.13,80.72
7:48:00,24.15,80.56
7:49:00,24.19,79.21
7:50:00,24.35,79.29
7:51:00,24.31,79.19
7:52:00,24.33,78.6
7:53:00,24.36,78.72
7:54:00,24.43,79.23
7:55:00,24.52,78.56
7:56:00,24.51,77.92
7:57:00,24.55,77.57
7:58:00,24.63,77.44
7:59:00,24.74,77.16
8:00:00,24.74,77.23
8:01:00,24.71,76.73
8:02:00,24.7,76.02
8:03:00,24.68,76.26
8:04:00,24.72,76.6
8:05:00,24.8,77.19
8:06:00,24.77,76.21
8:07:00,24.76,75.96
8:08:00,24.89,77
8:09:00,24.99,76.96
8:10:00,25.03,76.07
8:11:00,24.91,73.5
8:12:00,24.82,72.89
8:13:00,24.76,71.91
8:14:00,24.63,71.63
8:15:00,24.63,72.63
8:16:00,24.72,72.28
8:17:00,24.71,72.42
8:18:00,24.71,72.2
8:19:00,24.82,72.39
8:20:00,24.82,71.72
8:21:00,24.88,71.44
8:22:00,24.9,71.59
8:23:00,24.82,70.13
8:24:00,24.74,70.53
8:25:00,24.83,71.66
8:26:00,24.97,71.78
8:27:00,24.95,71.88
8:28:00,25.08,72.07
8:29:00,25.08,70.73
8:30:00,25.04,71.53
8:31:00,24.97,71.27
8:32:00,24.97,71.61
8:33:00,25.08,71.87
8:34:00,25.15,72.03
8:35:00,25.16,71.99
8:36:00,25.09,70.83
8:37:00,25.14,70.71
8:38:00,25.12,70.73
8:39:00,25.12,70.79
8:40:00,25.26,71.21
8:41:00,25.22,70.29
8:42:00,25.14,70.12
8:43:00,25.1,69.74
8:44:00,25.06,68.56
8:45:00,25.08,67.74
8:46:00,25.19,67.95
8:47:00,25.19,67.07
8:48:00,25.2,65.66
8:49:00,25.22,64.63
8:50:00,25.23,64.73
8:51:00,25.17,63.86
8:52:00,25.15,63.78
8:53:00,25.12,64.29
8:54:00,25.22,65.37
8:55:00,25.2,65.13
8:56:00,25.2,64.9
8:57:00,25.2,64.79
8:58:00,25.18,64.63
8:59:00,25.19,64.33
9:00:00,25.17,63.5
9:01:00,25.17,64.35
9:02:00,25.25,64.15
9:03:00,25.32,64.29
9:04:00,25.36,64.21
9:05:00,25.45,64.58
9:06:00,25.46,65.01
9:07:00,25.5,64.04
9:08:00,25.47,64.4
9:09:00,25.54,63.53
9:10:00,25.55,63.94
9:11:00,25.68,64.04
9:12:00,25.71,63.19
9:13:00,25.76,63.49
9:14:00,25.82,64.28
9:15:00,25.94,63.9
9:16:00,26.02,63.76
9:17:00,26.04,63.66
9:18:00,26,61.74
9:19:00,25.77,60.85
9:20:00,25.73,60.88
9:21:00,25.75,61.67
9:22:00,25.83,61.81
9:23:00,25.83,61.15
9:24:00,25.76,60.59
9:25:00,25.85,60.98
9:26:00,25.76,60.79
9:27:00,25.84,61.43
9:28:00,25.88,61.39
9:29:00,25.92,61.06
9:30:00,26.02,60.67
9:31:00,26.14,61.17
9:32:00,26.22,60.65
9:33:00,26.27,60.13
9:34:00,26.24,60.26
9:35:00,26.2,59.14
9:36:00,26.3,60.23
9:37:00,26.24,58.87
9:38:00,26.09,59.03
9:39:00,26.08,59.5
9:40:00,26.31,60.59
9:41:00,26.27,59.45
9:42:00,26.18,59
9:43:00,26.12,59.27
9:44:00,26.1,59.86
9:45:00,26.08,59.19
9:46:00,26,59.25
9:47:00,26.12,60.15
9:48:00,26.13,59.36
9:49:00,26.04,59.38
9:50:00,26,60.19
9:51:00,26.13,60.69
9:52:00,26.02,59.72
9:53:00,26.06,59.7
9:54:00,26.04,59.49
9:55:00,26.23,59.45
9:56:00,26.15,59.14
9:57:00,26.19,59.42
9:58:00,26.27,58.93
9:59:00,26.23,59.5
10:00:00,26.13,58.64
10:01:00,26.3,59.26
10:02:00,26.37,59.33
10:03:00,26.39,59.98
10:04:00,26.65,60.54
10:05:00,26.69,58.63
10:06:00,26.56,57.41
10:07:00,26.48,57.99
10:08:00,26.45,57.09
10:09:00,26.38,57.25
10:10:00,26.55,57.75
10:11:00,26.76,57.69
10:12:00,26.66,57.66
10:13:00,26.75,57.59
10:14:00,26.86,57.69
10:15:00,26.91,56.97
10:16:00,26.84,57.82
10:17:00,26.86,57.22
10:18:00,26.95,56.46
10:19:00,26.97,57.81
10:20:00,26.98,57.44
10:21:00,26.98,57.14
10:22:00,27.1,56.93
10:23:00,27.02,56.61
10:24:00,26.87,56.7
10:25:00,27.06,57.17
10:26:00,26.95,56.8
10:27:00,26.78,56.91
10:28:00,26.97,57.35
10:29:00,27.13,57.16
10:30:00,27.23,56.67
10:31:00,27.23,56.7
10:32:00,27.17,56.18
10:33:00,27.05,55.61
10:34:00,27.04,56.05
10:35:00,26.98,56.22
10:36:00,27.13,56.63
10:37:00,27.38,57.04
10:38:00,27.47,56.52
10:39:00,27.39,54.85
10:40:00,27.27,55.15
10:41:00,27.41,56.33
10:42:00,27.71,56.17
10:43:00,28.11,56.4
10:44:00,27.84,54.85
10:45:00,27.82,54.42
10:46:00,27.98,54.39
10:47:00,28.1,54.96
10:48:00,28.46,54.37
10:49:00,28.4,53.72
10:50:00,27.93,52.61
10:51:00,27.87,54
10:52:00,28.04,53.69
10:53:00,28.19,53.32
10:54:00,28.25,53.36
10:55:00,28.1,53.17
10:56:00,28.16,53.46
10:57:00,28.25,53.78
10:58:00,28.49,54
10:59:00,28.54,53.95
11:00:00,28.65,53.71
11:01:00,28.93,53.47
11:02:00,28.69,51.12
11:03:00,28.74,51.45
11:04:00,28.77,51.59
11:05:00,29.13,51.87
11:06:00,29.01,50.91
11:07:00,29.06,50.74
11:08:00,28.64,50.36
11:09:00,28.61,50.7
11:10:00,28.63,51.38
11:11:00,28.6,50.86
11:12:00,28.47,50.68
11:13:00,28.55,50.71
11:14:00,28.6,50.21
11:15:00,28.97,50.58
11:16:00,29.08,50.35
11:17:00,28.61,49.58
11:18:00,28.57,50.29
11:19:00,28.63,49.85
11:20:00,28.81,50.15
11:21:00,29.03,49.5
11:22:00,29.06,49.29
11:23:00,28.98,49.08
11:24:00,29.02,49.36
11:25:00,28.9,49.64
11:26:00,28.86,49.43
11:27:00,29.11,49.81
11:28:00,29.35,49.68
11:29:00,29.39,50.31
11:30:00,29.26,49.13
11:31:00,29.1,49.38
11:32:00,29.36,49.61
11:33:00,29.19,48.56
11:34:00,28.65,48.81
11:35:00,28.84,49.84
11:36:00,29.09,50.93
11:37:00,29.09,49.87
11:38:00,29.61,49.76
11:39:00,29.84,49.44
11:40:00,29.71,48.43
11:41:00,29.97,49.01
11:42:00,29.95,48.51
11:43:00,29.87,48.45
11:44:00,29.93,48.79
11:45:00,29.75,48.27
11:46:00,29.78,48.46
11:47:00,29.27,47.72
11:48:00,29.34,48.58
11:49:00,29.68,47.84
11:50:00,29.78,48.04
11:51:00,30.07,47.62
11:52:00,30.38,48.01
11:53:00,30.49,46.92
11:54:00,30.59,47.19
11:55:00,30.05,45.16
11:56:00,29.87,45.47
11:57:00,29.79,45.58
11:58:00,30.21,46.19
11:59:00,30.64,46.39
12:00:00,30.51,45.91
12:01:00,30.24,45.23
12:02:00,30.22,44.73
12:03:00,29.96,44.77
12:04:00,29.63,45.07
12:05:00,29.98,45.99
12:06:00,30.18,45.6
12:07:00,29.98,45.24
12:08:00,30.11,45.52
12:09:00,30.19,45.78
12:10:00,30.16,45.99
12:11:00,30.14,46.24
12:12:00,29.92,46.06
12:13:00,30.09,46.84
12:14:00,30.35,46.5
12:15:00,30.3,46.44
12:16:00,30.32,46.47
12:17:00,30.48,46.09
12:18:00,30.24,45.17
12:19:00,30.63,46.33
12:20:00,30.07,44.66
12:21:00,29.94,45.46
12:22:00,30.05,45.32
12:23:00,29.99,45.13
12:24:00,29.98,45.73
12:25:00,29.79,46.18
12:26:00,29.99,46.76
12:27:00,30.51,45.85
12:28:00,30.48,45.62
12:29:00,30.35,45.65
12:30:00,30.38,45.4
12:31:00,30.48,46.07
12:32:00,30.63,45.76
12:33:00,30.74,46.56
12:34:00,30.59,45.08
12:35:00,30.49,44.91
12:36:00,30.58,45.62
12:37:00,30.7,45.83
12:38:00,30.75,44.02
12:39:00,30.33,43.42
12:40:00,30.44,44.39
12:41:00,30.56,44.23
12:42:00,30.56,44
12:43:00,30.53,44.5
12:44:00,30.77,44.88
12:45:00,30.74,44.97
12:46:00,30.54,44.88
12:47:00,30.77,45.08
12:48:00,30.76,44.21
12:49:00,30.43,44.36
12:50:00,30.4,45.01
12:51:00,30.72,45.41
12:52:00,31.14,44.87
12:53:00,30.88,44.22
12:54:00,30.72,44.46
12:55:00,31.08,45.05
12:56:00,31.02,44.12
12:57:00,30.82,44.21
12:58:00,30.94,44.65
12:59:00,30.77,44.06
13:00:00,30.7,44.62
13:01:00,31.09,44.98
13:02:00,31.07,44.05
13:03:00,31.54,44.05
13:04:00,31.27,42.45
13:05:00,30.84,42.38
13:06:00,31.06,42.95
13:07:00,31.15,42.76
13:08:00,31.11,43.26
13:09:00,31.09,42.75
13:10:00,31.29,43.09
13:11:00,30.99,42.35
13:12:00,30.72,42.65
13:13:00,31.23,43.28
13:14:00,31.12,42.81
13:15:00,30.89,42.84
13:16:00,31,43.67
13:17:00,31.13,42.72
13:18:00,31.1,42.31
13:19:00,31.28,42.68
13:20:00,31.59,42.58
13:21:00,32,42.74
13:22:00,32.23,42.28
13:23:00,32.07,41.81
13:24:00,31.81,41.4
13:25:00,31.77,41.51
13:26:00,31.9,41.55
13:27:00,31.56,41.26
13:28:00,31.2,41.3
13:29:00,31.03,41.39
13:30:00,31.16,41.85
13:31:00,31.23,41.65
13:32:00,31.16,41.73
13:33:00,31.31,41.59
13:34:00,31.24,41.54
13:35:00,31.58,42.29
13:36:00,31.98,42.76
13:37:00,31.83,40.87
13:38:00,32.07,40.58
13:39:00,31.96,40.19
13:40:00,31.95,40.55
13:41:00,32.11,40.81
13:42:00,32.13,40.25
13:43:00,32.09,40.21
13:44:00,32.01,39.57
13:45:00,31.96,39.55
13:46:00,32.11,39.37
13:47:00,32.02,39.18
13:48:00,31.8,39.08
13:49:00,32,39.63
13:50:00,32.19,39.13
13:51:00,32.39,38.98
13:52:00,32.3,39.11
13:53:00,31.92,39.18
13:54:00,32.33,39.67
13:55:00,31.75,39.6
13:56:00,31.78,40.11
13:57:00,31.95,40.99
13:58:00,32.11,39.73
13:59:00,31.87,38.87
14:00:00,31.75,39.3
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
,--,--
